SKU,Description,Retail,Wholesale,InStock,BrandCode,BrandName,Status,UPC,Closeout,Image
"CBG-1001-GM          ","Butterfly Bottle Opener, Gun Metal","19.950000","10.000000","2463.000000","CBG","Caliber Gourmet","Active","024718511733","","CBG-1001-GM_B.JPG"
"CBG-1002             ","50 Caliber Shot Glasses, Set of 2","9.950000","5.000000","374.000000","CBG","Caliber Gourmet","Active","","","CBG-1002.jpg"
"CBG-1003             ","50 Caliber Corkscrew","12.950000","7.500000","2850.000000","CBG","Caliber Gourmet","Active","024718511740","","CBG-1003.jpg"
"CBG-1005             ","Combat Condiments, Set of 2","12.950000","7.500000","346.000000","CBG","Caliber Gourmet","Active","","","CBG-1005.jpg"
"CBG-1006             ","Fired Eggs, Non-Stick Silicone","7.950000","4.000000","428.000000","CBG","Caliber Gourmet","Active","","","CBG-1006.jpg"
"CBG-1007             ","Revolver Cylinder Pen Holder, Aluminum","14.950000","7.500000","441.000000","CBG","Caliber Gourmet","Active","","","CBG-1007.jpg"
"CBG-1014             ","Bullet Ball Point Pen","24.950000","12.500000","2190.000000","CBG","Caliber Gourmet","Active","024718511795","","CBG-1014.JPG"
"CBG-1016             ","50 Caliber Bottle Opener","12.950000","7.500000","2750.000000","CBG","Caliber Gourmet","Active","024718512143","","CBG-1016.jpg"
"HMV-52B-BLACK        ","Pilot Sunglasses - 52mm, Bayonette, Gray Lens, Black Frame","23.000000","11.500000","197.000000","HMV","Humvee","Active","024718225234","","HMV-52B-BLACK.jpg"
"HMV-52B-GOLD         ","Pilot Sunglasses - 52mm, Bayonette, Gray Lens, Gold Frame","23.000000","11.500000","88.000000","HMV","Humvee","Active","024718225227","","HMV-52B-GOLD.jpg"
"HMV-52B-MATT         ","Pilot Sunglasses - 52mm, Bayonette, Gray Lens, Chrome Frame","23.000000","11.500000","802.000000","HMV","Humvee","Active","024718225296","","HMV-52B-MATT.jpg"
"HMV-52B-OD           ","Pilot Sunglasses - 52mm, Bayonette, grey Lens, OD Frame","23.000000","11.500000","145.000000","HMV","Humvee","Active","024718100791","","HMV-52B-OD.jpg"
"HMV-52B-SILVR        ","Pilot Sunglasses - 52mm, Bayonette, Gray Lens, Silver Frame","23.000000","11.500000","253.000000","HMV","Humvee","Active","024718225210","","HMV-52B-SILVR.jpg"
"HMV-52B-TAN          ","Pilot Sunglasses - 52mm, Bayonette, Khaki Tan Frame","23.000000","11.500000","141.000000","HMV","Humvee","Active","024718100784","","HMV-52B-TAN.jpg"
